,EVENT_DATE_YEAR,EVENT_DATE,LAT,LONG,SPCSNO,LATIN_NAME
0,2004,2004-06-02,52.4233,1.6622773,196.0,Rutilus rutilus
1,2004,2004-06-02,52.4233,1.6622773,15.0,Esox lucius
2,2010,2010-04-29,52.426026,1.6634158,11.0,Rutilus rutilus
3,2010,2010-04-29,52.426026,1.6634158,2.0,Esox lucius
4,2016,2016-05-25,52.426026,1.6634158,74.0,Rutilus rutilus
5,2016,2016-05-25,52.426026,1.6634158,9.0,Esox lucius
6,2016,2016-05-25,52.426026,1.6634158,13.0,Gasterosteus aculeatus
8,2010,2010-04-27,52.423146,1.6634857,60.0,Rutilus rutilus
9,2010,2010-04-27,52.423146,1.6634857,6.0,Esox lucius
10,2010,2010-04-27,52.423146,1.6634857,4.0,Gobio gobio
11,2010,2010-04-27,52.423146,1.6634857,2.0,Gasterosteus aculeatus
12,2010,2010-05-06,52.414923,1.6901201,618.0,Rutilus rutilus
13,2010,2010-05-06,52.414923,1.6901201,38.0,Esox lucius
14,2010,2010-05-06,52.414923,1.6901201,6.0,Perca fluviatilis
15,2016,2016-06-16,52.414923,1.6901201,3.0,Esox lucius
16,2016,2016-06-16,52.414923,1.6901201,4.0,Rutilus rutilus
17,2010,2010-05-19,52.337717,1.5157984,3.0,Esox lucius
18,2010,2010-05-19,52.337717,1.5157984,4.0,Gasterosteus aculeatus
20,2010,2010-05-19,52.337717,1.5157984,25.0,Anguilla anguilla
21,2010,2010-05-19,52.337717,1.5157984,1.0,Gobio gobio
22,2016,2016-08-01,52.336965,1.5177797,9.0,Anguilla anguilla
23,2016,2016-08-01,52.336965,1.5177797,8.0,Gasterosteus aculeatus
26,2010,2010-05-07,52.338016,1.5271875,8.0,Esox lucius
27,2010,2010-05-07,52.338016,1.5271875,5.0,Gasterosteus aculeatus
28,2010,2010-05-07,52.338016,1.5271875,3.0,Rutilus rutilus
29,2010,2010-05-07,52.338016,1.5271875,25.0,Anguilla anguilla
32,2016,2016-06-07,52.3379,1.5280593,2.0,Esox lucius
33,2016,2016-06-07,52.3379,1.5280593,1.0,Scardinius erythrophthalmus
34,2016,2016-06-07,52.3379,1.5280593,37.0,Anguilla anguilla
35,2016,2016-06-07,52.3379,1.5280593,3.0,Gasterosteus aculeatus
36,2016,2016-06-07,52.3379,1.5280593,1.0,Pungitius pungitius
37,2010,2010-07-28,52.345702,1.6117929,1.0,Esox lucius
39,2010,2010-07-28,52.345702,1.6117929,4.0,Gasterosteus aculeatus
40,2010,2010-07-28,52.345702,1.6117929,3.0,Platichthys flesus
41,2010,2010-07-28,52.345702,1.6117929,1.0,Anguilla anguilla
42,2016,2016-07-15,52.34551,1.6127759,1.0,Esox lucius
43,2016,2016-07-15,52.34551,1.6127759,18.0,Gasterosteus aculeatus
44,2016,2016-07-15,52.34551,1.6127759,6.0,Pungitius pungitius
45,2016,2016-07-15,52.34551,1.6127759,1.0,Anguilla anguilla
46,2004,2004-05-27,52.34301,1.6115733,9.0,Esox lucius
47,2004,2004-05-27,52.34301,1.6115733,6.0,Gasterosteus aculeatus
48,2004,2004-05-27,52.34301,1.6115733,10.0,Anguilla anguilla
50,2010,2010-07-28,52.34301,1.6115733,1.0,Esox lucius
51,2010,2010-07-28,52.34301,1.6115733,1.0,Gasterosteus aculeatus
52,2016,2016-07-15,52.344186,1.6119483,1.0,Esox lucius
53,2016,2016-07-15,52.344186,1.6119483,33.0,Gasterosteus aculeatus
54,2016,2016-07-15,52.344186,1.6119483,6.0,Pungitius pungitius
55,2016,2016-07-15,52.344186,1.6119483,1.0,Anguilla anguilla
57,2003,2003-03-26,52.189547,1.4498348,6.0,Rutilus rutilus
60,2003,2003-03-26,52.189547,1.4498348,1.0,Gobio gobio
61,2003,2003-03-26,52.189547,1.4498348,4.0,Anguilla anguilla
62,2003,2003-03-26,52.189547,1.4498348,2.0,Gasterosteus aculeatus
66,2010,2010-07-26,52.189547,1.4498348,1.0,Carassius auratus
67,2010,2010-07-26,52.189547,1.4498348,7.0,Gasterosteus aculeatus
68,2010,2010-07-26,52.189547,1.4498348,4.0,Rutilus rutilus
70,2016,2016-07-05,52.189773,1.4507304,29.0,Salmo trutta
71,2016,2016-07-05,52.189773,1.4507304,2.0,Scardinius erythrophthalmus
72,2016,2016-07-05,52.189773,1.4507304,5.0,Rutilus rutilus
73,2016,2016-07-05,52.189773,1.4507304,1.0,Anguilla anguilla
74,2016,2016-07-05,52.189773,1.4507304,1.0,Gasterosteus aculeatus
78,2003,2003-03-25,52.170258,1.4687035,2.0,Salmo trutta
79,2003,2003-03-25,52.170258,1.4687035,25.0,Rutilus rutilus
80,2003,2003-03-25,52.170258,1.4687035,1.0,Scardinius erythrophthalmus
81,2003,2003-03-25,52.170258,1.4687035,7.0,Platichthys flesus
83,2003,2003-03-25,52.170258,1.4687035,1.0,Gasterosteus aculeatus
84,2003,2003-03-25,52.170258,1.4687035,34.0,Anguilla anguilla
86,2010,2010-07-14,52.170389,1.469138,53.0,Salmo trutta
87,2010,2010-07-14,52.170389,1.469138,8.0,Rutilus rutilus
89,2010,2010-07-14,52.170389,1.469138,3.0,Gasterosteus aculeatus
90,2010,2010-07-14,52.170389,1.469138,1.0,Platichthys flesus
92,2010,2010-07-14,52.170389,1.469138,2.0,Scardinius erythrophthalmus
94,2010,2010-07-14,52.170389,1.469138,5.0,Anguilla anguilla
95,2016,2016-07-04,52.189773,1.4507304,13.0,Salmo trutta
96,2016,2016-07-04,52.189773,1.4507304,2.0,Gasterosteus aculeatus
97,2016,2016-07-04,52.189773,1.4507304,3.0,Anguilla anguilla
100,2004,2004-04-07,52.198662,1.2558668,239.0,Rutilus rutilus
101,2004,2004-04-07,52.198662,1.2558668,8.0,Esox lucius
103,2004,2004-04-07,52.198662,1.2558668,6.0,Anguilla anguilla
104,2004,2004-04-07,52.198662,1.2558668,62.0,Gasterosteus aculeatus
105,2010,2010-04-26,52.198662,1.2558668,90.0,Rutilus rutilus
106,2010,2010-04-26,52.198662,1.2558668,11.0,Esox lucius
107,2010,2010-04-26,52.198662,1.2558668,39.0,Gasterosteus aculeatus
109,2010,2010-04-26,52.198662,1.2558668,2.0,Pungitius pungitius
110,2010,2010-04-26,52.198662,1.2558668,3.0,Anguilla anguilla
111,2016,2016-04-15,52.198662,1.2558668,10.0,Esox lucius
112,2016,2016-04-15,52.198662,1.2558668,5.0,Gasterosteus aculeatus
114,2016,2016-04-15,52.198662,1.2558668,3.0,Pungitius pungitius
116,2016,2016-04-15,52.198662,1.2558668,1.0,Rutilus rutilus
117,2016,2016-04-15,52.198662,1.2558668,3.0,Anguilla anguilla
118,2004,2004-04-09,52.189977,1.3093777,1090.0,Rutilus rutilus
119,2004,2004-04-09,52.189977,1.3093777,25.0,Esox lucius
120,2004,2004-04-09,52.189977,1.3093777,27.0,Perca fluviatilis
122,2004,2004-04-09,52.189977,1.3093777,2.0,Anguilla anguilla
124,2010,2010-04-27,52.189977,1.3093777,38.0,Rutilus rutilus
125,2010,2010-04-27,52.189977,1.3093777,26.0,Esox lucius
126,2010,2010-04-27,52.189977,1.3093777,26.0,Perca fluviatilis
127,2010,2010-04-27,52.189977,1.3093777,1.0,Scardinius erythrophthalmus
130,2010,2010-04-27,52.189977,1.3093777,26.0,Anguilla anguilla
132,2010,2010-04-27,52.189977,1.3093777,1.0,Gasterosteus aculeatus
133,2016,2016-04-19,52.189977,1.3093777,198.0,Rutilus rutilus
134,2016,2016-04-19,52.189977,1.3093777,44.0,Esox lucius
135,2016,2016-04-19,52.189977,1.3093777,8.0,Perca fluviatilis
137,2016,2016-04-19,52.189977,1.3093777,8.0,Scardinius erythrophthalmus
138,2016,2016-04-19,52.189977,1.3093777,4.0,Gasterosteus aculeatus
140,2016,2016-04-19,52.189977,1.3093777,52.0,Anguilla anguilla
141,2022,2022-04-21,52.190399,1.309731,54.0,Rutilus rutilus
142,2022,2022-04-21,52.190399,1.309731,33.0,Esox lucius
143,2022,2022-04-21,52.190399,1.309731,19.0,Perca fluviatilis
146,2022,2022-04-21,52.190399,1.309731,11.0,Anguilla anguilla
147,2004,2004-03-26,52.182509,1.319065,14.0,Esox lucius
148,2004,2004-03-26,52.182509,1.319065,239.0,Rutilus rutilus
149,2004,2004-03-26,52.182509,1.319065,118.0,Perca fluviatilis
151,2004,2004-03-26,52.182509,1.319065,3.0,Anguilla anguilla
152,2010,2010-04-28,52.168179,1.3487144,140.0,Rutilus rutilus
153,2010,2010-04-28,52.168179,1.3487144,16.0,Esox lucius
155,2010,2010-04-28,52.168179,1.3487144,35.0,Perca fluviatilis
156,2010,2010-04-28,52.168179,1.3487144,1.0,Gobio gobio
159,2010,2010-04-29,52.152131,1.3752905,53.0,Esox lucius
160,2010,2010-04-29,52.152131,1.3752905,40.0,Perca fluviatilis
161,2010,2010-04-29,52.152131,1.3752905,81.0,Rutilus rutilus
164,2010,2010-04-29,52.152131,1.3752905,2.0,Gobio gobio
165,2010,2010-04-29,52.152131,1.3752905,8.0,Anguilla anguilla
166,2010,2010-04-30,52.118443,1.3581318,54.0,Rutilus rutilus
167,2010,2010-04-30,52.118443,1.3581318,55.0,Perca fluviatilis
168,2010,2010-04-30,52.118443,1.3581318,21.0,Esox lucius
170,2010,2010-04-30,52.118443,1.3581318,4.0,Gobio gobio
171,2010,2010-04-30,52.118443,1.3581318,2.0,Gasterosteus aculeatus
174,2010,2010-04-30,52.118443,1.3581318,3.0,Anguilla anguilla
175,2010,2010-04-30,52.118443,1.3581318,5.0,Scardinius erythrophthalmus
176,2016,2016-05-18,52.118443,1.3581318,13.0,Rutilus rutilus
177,2016,2016-05-18,52.118443,1.3581318,14.0,Esox lucius
178,2016,2016-05-18,52.118443,1.3581318,32.0,Perca fluviatilis
179,2016,2016-05-18,52.118443,1.3581318,27.0,Gobio gobio
181,2016,2016-05-18,52.118443,1.3581318,2.0,Anguilla anguilla
182,2016,2016-05-18,52.118443,1.3581318,1.0,Anguilla anguilla
183,2004,2004-05-19,52.041528,1.2794602,139.0,Salmo trutta
186,2004,2004-05-19,52.041528,1.2794602,92.0,Gasterosteus aculeatus
187,2004,2004-05-19,52.041528,1.2794602,1.0,Pungitius pungitius
188,2004,2004-05-19,52.041528,1.2794602,3.0,Anguilla anguilla
189,2010,2010-05-24,52.041528,1.2794602,53.0,Salmo trutta
190,2010,2010-05-24,52.041528,1.2794602,1.0,Esox lucius
191,2010,2010-05-24,52.041528,1.2794602,40.0,Gasterosteus aculeatus
194,2010,2010-05-24,52.041528,1.2794602,3.0,Anguilla anguilla
195,2016,2016-05-26,52.041528,1.2794602,154.0,Salmo trutta
196,2016,2016-05-26,52.041528,1.2794602,2.0,Gasterosteus aculeatus
199,2016,2016-05-26,52.041528,1.2794602,1.0,Anguilla anguilla
200,2016,2016-05-26,52.041528,1.2794602,1.0,Anguilla anguilla
201,2022,2022-05-24,52.041756,1.2796666,28.0,Salmo trutta
202,2022,2022-05-24,52.041756,1.2796666,29.0,Gasterosteus aculeatus
206,2004,2004-05-18,52.029885,1.3091999,58.0,Salmo trutta
207,2004,2004-05-18,52.029885,1.3091999,6.0,Perca fluviatilis
208,2004,2004-05-18,52.029885,1.3091999,4.0,Platichthys flesus
209,2004,2004-05-18,52.029885,1.3091999,2.0,Anguilla anguilla
210,2006,2006-10-18,52.029885,1.3091999,32.0,Gasterosteus aculeatus
211,2006,2006-10-18,52.029885,1.3091999,66.0,Salmo trutta
212,2006,2006-10-18,52.029885,1.3091999,53.0,Perca fluviatilis
213,2006,2006-10-18,52.029885,1.3091999,1.0,Esox lucius
214,2006,2006-10-18,52.029885,1.3091999,1.0,Scardinius erythrophthalmus
217,2006,2006-10-18,52.029885,1.3091999,3.0,Anguilla anguilla
218,2006,2006-10-18,52.029885,1.3091999,2.0,Platichthys flesus
219,2010,2010-05-25,52.029885,1.3091999,130.0,Salmo trutta
220,2010,2010-05-25,52.029885,1.3091999,156.0,Perca fluviatilis
221,2010,2010-05-25,52.029885,1.3091999,2.0,Esox lucius
222,2010,2010-05-25,52.029885,1.3091999,5.0,Platichthys flesus
224,2010,2010-05-25,52.029885,1.3091999,6.0,Anguilla anguilla
225,2016,2016-05-27,52.029885,1.3091999,1.0,Rutilus rutilus
226,2016,2016-05-27,52.029885,1.3091999,117.0,Salmo trutta
227,2016,2016-05-27,52.029885,1.3091999,7.0,Perca fluviatilis
228,2016,2016-05-27,52.029885,1.3091999,4.0,Esox lucius
229,2016,2016-05-27,52.029885,1.3091999,1.0,Platichthys flesus
230,2016,2016-05-27,52.029885,1.3091999,2.0,Gasterosteus aculeatus
233,2016,2016-05-27,52.029885,1.3091999,6.0,Anguilla anguilla
234,2003,2003-04-11,52.172677,1.0155337,16.0,Esox lucius
236,2003,2003-04-11,52.172677,1.0155337,555.0,Rutilus rutilus
237,2003,2003-04-11,52.172677,1.0155337,367.0,Gobio gobio
240,2003,2003-04-11,52.172677,1.0155337,2.0,Scardinius erythrophthalmus
241,2003,2003-04-11,52.172677,1.0155337,1.0,Perca fluviatilis
243,2003,2003-04-11,52.172677,1.0155337,2.0,Anguilla anguilla
245,2004,2004-04-23,52.172677,1.0155337,375.0,Rutilus rutilus
246,2004,2004-04-23,52.172677,1.0155337,348.0,Gobio gobio
247,2004,2004-04-23,52.172677,1.0155337,9.0,Esox lucius
248,2004,2004-04-23,52.172677,1.0155337,2.0,Perca fluviatilis
252,2004,2004-04-23,52.172677,1.0155337,3.0,Anguilla anguilla
253,2005,2005-04-25,52.172677,1.0155337,441.0,Gobio gobio
254,2005,2005-04-25,52.172677,1.0155337,171.0,Rutilus rutilus
256,2005,2005-04-25,52.172677,1.0155337,3.0,Perca fluviatilis
257,2005,2005-04-25,52.172677,1.0155337,9.0,Esox lucius
259,2005,2005-04-25,52.172677,1.0155337,8.0,Gasterosteus aculeatus
261,2005,2005-04-25,52.172677,1.0155337,3.0,Anguilla anguilla
262,2006,2006-04-25,52.172677,1.0155337,243.0,Rutilus rutilus
264,2006,2006-04-25,52.172677,1.0155337,11.0,Esox lucius
268,2006,2006-04-25,52.172677,1.0155337,4.0,Perca fluviatilis
270,2006,2006-04-25,52.172677,1.0155337,32.0,Gasterosteus aculeatus
271,2006,2006-04-25,52.172677,1.0155337,298.0,Gobio gobio
272,2006,2006-04-25,52.172677,1.0155337,3.0,Anguilla anguilla
273,2007,2007-04-12,52.172677,1.0155337,340.0,Rutilus rutilus
275,2007,2007-04-12,52.172677,1.0155337,10.0,Esox lucius
277,2007,2007-04-12,52.172677,1.0155337,3.0,Perca fluviatilis
279,2007,2007-04-12,52.172677,1.0155337,25.0,Gobio gobio
281,2007,2007-04-12,52.172677,1.0155337,2.0,Scardinius erythrophthalmus
282,2007,2007-04-12,52.172677,1.0155337,3.0,Gasterosteus aculeatus
283,2007,2007-04-12,52.172677,1.0155337,2.0,Anguilla anguilla
284,2008,2008-04-22,52.172677,1.0155337,249.0,Rutilus rutilus
286,2008,2008-04-22,52.172677,1.0155337,21.0,Gobio gobio
288,2008,2008-04-22,52.172677,1.0155337,2.0,Perca fluviatilis
290,2008,2008-04-22,52.172677,1.0155337,8.0,Gasterosteus aculeatus
292,2008,2008-04-22,52.172677,1.0155337,18.0,Esox lucius
293,2008,2008-04-22,52.172677,1.0155337,5.0,Anguilla anguilla
294,2009,2009-05-07,52.172677,1.0155337,64.0,Rutilus rutilus
297,2009,2009-05-07,52.172677,1.0155337,13.0,Esox lucius
298,2009,2009-05-07,52.172677,1.0155337,2.0,Perca fluviatilis
299,2009,2009-05-07,52.172677,1.0155337,46.0,Gobio gobio
302,2009,2009-05-07,52.172677,1.0155337,1.0,Anguilla anguilla
303,2009,2009-05-07,52.172677,1.0155337,1.0,Scardinius erythrophthalmus
304,2009,2009-05-07,52.172677,1.0155337,1.0,Gasterosteus aculeatus
305,2010,2010-04-14,52.172677,1.0155337,294.0,Rutilus rutilus
306,2010,2010-04-14,52.172677,1.0155337,12.0,Esox lucius
308,2010,2010-04-14,52.172677,1.0155337,10.0,Gasterosteus aculeatus
310,2010,2010-04-14,52.172677,1.0155337,28.0,Gobio gobio
312,2010,2010-04-14,52.172677,1.0155337,2.0,Anguilla anguilla
313,2013,2013-04-10,52.173943,1.0163215,306.0,Rutilus rutilus
316,2013,2013-04-10,52.173943,1.0163215,6.0,Esox lucius
317,2013,2013-04-10,52.173943,1.0163215,4.0,Perca fluviatilis
318,2013,2013-04-10,52.173943,1.0163215,61.0,Gobio gobio
319,2013,2013-04-10,52.173943,1.0163215,9.0,Gasterosteus aculeatus
320,2013,2013-04-10,52.173943,1.0163215,2.0,Anguilla anguilla
324,2016,2016-05-11,52.172677,1.0155337,140.0,Rutilus rutilus
325,2016,2016-05-11,52.172677,1.0155337,2.0,Scardinius erythrophthalmus
326,2016,2016-05-11,52.172677,1.0155337,3.0,Esox lucius
329,2016,2016-05-11,52.172677,1.0155337,2.0,Perca fluviatilis
330,2016,2016-05-11,52.172677,1.0155337,62.0,Gobio gobio
333,2016,2016-05-11,52.172677,1.0155337,29.0,Gasterosteus aculeatus
334,2016,2016-05-11,52.172677,1.0155337,3.0,Anguilla anguilla
335,2019,2019-05-14,52.172677,1.0155337,127.0,Rutilus rutilus
337,2019,2019-05-14,52.172677,1.0155337,3.0,Esox lucius
338,2019,2019-05-14,52.172677,1.0155337,69.0,Gobio gobio
341,2019,2019-05-14,52.172677,1.0155337,8.0,Gasterosteus aculeatus
343,2019,2019-05-14,52.172677,1.0155337,1.0,Scardinius erythrophthalmus
344,2019,2019-05-14,52.172677,1.0155337,6.0,Anguilla anguilla
345,2022,2022-04-14,52.174067,1.0164176,716.0,Rutilus rutilus
348,2022,2022-04-14,52.174067,1.0164176,5.0,Esox lucius
350,2022,2022-04-14,52.174067,1.0164176,66.0,Gasterosteus aculeatus
352,2022,2022-04-14,52.174067,1.0164176,444.0,Gobio gobio
353,2022,2022-04-14,52.174067,1.0164176,8.0,Anguilla anguilla
355,2003,2003-04-09,52.152658,1.0595046,15.0,Esox lucius
356,2003,2003-04-09,52.152658,1.0595046,1.0,Perca fluviatilis
357,2003,2003-04-09,52.152658,1.0595046,4.0,Tinca tinca
359,2003,2003-04-09,52.152658,1.0595046,2.0,Rutilus rutilus
360,2003,2003-04-09,52.152658,1.0595046,1.0,Gobio gobio
361,2004,2004-04-21,52.152658,1.0595046,226.0,Rutilus rutilus
362,2004,2004-04-21,52.152658,1.0595046,10.0,Gobio gobio
363,2004,2004-04-21,52.152658,1.0595046,24.0,Esox lucius
365,2004,2004-04-21,52.152658,1.0595046,3.0,Tinca tinca
366,2004,2004-04-21,52.152658,1.0595046,4.0,Scardinius erythrophthalmus
368,2004,2004-04-21,52.152658,1.0595046,4.0,Perca fluviatilis
371,2005,2005-04-22,52.152658,1.0595046,232.0,Rutilus rutilus
373,2005,2005-04-22,52.152658,1.0595046,14.0,Esox lucius
374,2005,2005-04-22,52.152658,1.0595046,27.0,Perca fluviatilis
375,2005,2005-04-22,52.152658,1.0595046,4.0,Tinca tinca
377,2005,2005-04-22,52.152658,1.0595046,1.0,Cyprinus carpio
378,2005,2005-04-22,52.152658,1.0595046,68.0,Gobio gobio
379,2005,2005-04-22,52.152658,1.0595046,9.0,Scardinius erythrophthalmus
381,2005,2005-04-22,52.152658,1.0595046,2.0,Anguilla anguilla
384,2006,2006-04-21,52.152658,1.0595046,279.0,Rutilus rutilus
387,2006,2006-04-21,52.152658,1.0595046,9.0,Scardinius erythrophthalmus
390,2006,2006-04-21,52.152658,1.0595046,44.0,Esox lucius
392,2006,2006-04-21,52.152658,1.0595046,10.0,Perca fluviatilis
393,2006,2006-04-21,52.152658,1.0595046,49.0,Gobio gobio
394,2006,2006-04-21,52.152658,1.0595046,4.0,Tinca tinca
395,2006,2006-04-21,52.152658,1.0595046,1.0,Anguilla anguilla
396,2007,2007-04-25,52.152658,1.0595046,342.0,Rutilus rutilus
397,2007,2007-04-25,52.152658,1.0595046,39.0,Esox lucius
399,2007,2007-04-25,52.152658,1.0595046,8.0,Scardinius erythrophthalmus
400,2007,2007-04-25,52.152658,1.0595046,2.0,Tinca tinca
403,2007,2007-04-25,52.152658,1.0595046,8.0,Perca fluviatilis
404,2007,2007-04-25,52.152658,1.0595046,3.0,Anguilla anguilla
406,2008,2008-04-15,52.152658,1.0595046,446.0,Rutilus rutilus
408,2008,2008-04-15,52.152658,1.0595046,43.0,Esox lucius
409,2008,2008-04-15,52.152658,1.0595046,10.0,Perca fluviatilis
410,2008,2008-04-15,52.152658,1.0595046,9.0,Scardinius erythrophthalmus
413,2008,2008-04-15,52.152658,1.0595046,3.0,Gobio gobio
414,2008,2008-04-15,52.152658,1.0595046,4.0,Tinca tinca
417,2008,2008-04-15,52.152658,1.0595046,9.0,Anguilla anguilla
418,2008,2008-04-15,52.152658,1.0595046,1.0,Pungitius pungitius
419,2009,2009-04-17,52.152658,1.0595046,145.0,Rutilus rutilus
420,2009,2009-04-17,52.152658,1.0595046,2.0,Scardinius erythrophthalmus
421,2009,2009-04-17,52.152658,1.0595046,32.0,Esox lucius
424,2009,2009-04-17,52.152658,1.0595046,9.0,Perca fluviatilis
426,2009,2009-04-17,52.152658,1.0595046,2.0,Gobio gobio
428,2010,2010-04-23,52.152658,1.0595046,40.0,Esox lucius
429,2010,2010-04-23,52.152658,1.0595046,21.0,Perca fluviatilis
430,2010,2010-04-23,52.152658,1.0595046,241.0,Rutilus rutilus
433,2010,2010-04-23,52.152658,1.0595046,1.0,Scardinius erythrophthalmus
436,2010,2010-04-23,52.152658,1.0595046,7.0,Anguilla anguilla
437,2010,2010-04-23,52.152658,1.0595046,1.0,Gobio gobio
438,2013,2013-04-11,52.152658,1.0595046,360.0,Rutilus rutilus
441,2013,2013-04-11,52.152658,1.0595046,37.0,Gobio gobio
442,2013,2013-04-11,52.152658,1.0595046,24.0,Esox lucius
443,2013,2013-04-11,52.152658,1.0595046,54.0,Perca fluviatilis
444,2013,2013-04-11,52.152658,1.0595046,10.0,Scardinius erythrophthalmus
447,2013,2013-04-11,52.152658,1.0595046,53.0,Anguilla anguilla
448,2016,2016-05-09,52.152658,1.0595046,196.0,Rutilus rutilus
449,2016,2016-05-09,52.152658,1.0595046,10.0,Esox lucius
451,2016,2016-05-09,52.152658,1.0595046,2.0,Scardinius erythrophthalmus
455,2016,2016-05-09,52.152658,1.0595046,29.0,Gobio gobio
456,2016,2016-05-09,52.152658,1.0595046,2.0,Perca fluviatilis
457,2016,2016-05-09,52.152658,1.0595046,2.0,Gasterosteus aculeatus
458,2016,2016-05-09,52.152658,1.0595046,17.0,Anguilla anguilla
460,2019,2019-06-07,52.152658,1.0595046,370.0,Rutilus rutilus
461,2019,2019-06-07,52.152658,1.0595046,17.0,Esox lucius
462,2019,2019-06-07,52.152658,1.0595046,1.0,Scardinius erythrophthalmus
464,2019,2019-06-07,52.152658,1.0595046,8.0,Perca fluviatilis
467,2019,2019-06-07,52.152658,1.0595046,2.0,Gasterosteus aculeatus
468,2019,2019-06-07,52.152658,1.0595046,3.0,Gobio gobio
470,2019,2019-06-07,52.152658,1.0595046,1.0,Anguilla anguilla
471,2022,2022-04-04,52.152658,1.0595046,177.0,Rutilus rutilus
472,2022,2022-04-04,52.152658,1.0595046,11.0,Gasterosteus aculeatus
475,2022,2022-04-04,52.152658,1.0595046,20.0,Perca fluviatilis
476,2022,2022-04-04,52.152658,1.0595046,1.0,Tinca tinca
477,2022,2022-04-04,52.152658,1.0595046,4.0,Scardinius erythrophthalmus
478,2022,2022-04-04,52.152658,1.0595046,16.0,Esox lucius
481,2022,2022-04-04,52.152658,1.0595046,21.0,Gobio gobio
482,2022,2022-04-04,52.152658,1.0595046,12.0,Anguilla anguilla
483,2003,2003-04-10,52.10655,1.1030846,24.0,Esox lucius
485,2003,2003-04-10,52.10655,1.1030846,48.0,Perca fluviatilis
486,2003,2003-04-10,52.10655,1.1030846,2.0,Tinca tinca
487,2003,2003-04-10,52.10655,1.1030846,4.0,Gobio gobio
491,2003,2003-04-10,52.10655,1.1030846,14.0,Anguilla anguilla
492,2004,2004-04-19,52.10655,1.1030846,38.0,Esox lucius
493,2004,2004-04-19,52.10655,1.1030846,74.0,Perca fluviatilis
496,2004,2004-04-19,52.10655,1.1030846,67.0,Gobio gobio
497,2004,2004-04-19,52.10655,1.1030846,56.0,Rutilus rutilus
500,2004,2004-04-19,52.10655,1.1030846,2.0,Tinca tinca
502,2004,2004-04-19,52.10655,1.1030846,19.0,Anguilla anguilla
503,2005,2005-04-13,52.10655,1.1030846,83.0,Rutilus rutilus
506,2005,2005-04-13,52.10655,1.1030846,30.0,Perca fluviatilis
507,2005,2005-04-13,52.10655,1.1030846,18.0,Esox lucius
508,2005,2005-04-13,52.10655,1.1030846,12.0,Tinca tinca
509,2005,2005-04-13,52.10655,1.1030846,47.0,Gobio gobio
512,2005,2005-04-13,52.10655,1.1030846,7.0,Anguilla anguilla
513,2006,2006-04-24,52.10655,1.1030846,435.0,Rutilus rutilus
515,2006,2006-04-24,52.10655,1.1030846,123.0,Esox lucius
516,2006,2006-04-24,52.10655,1.1030846,44.0,Perca fluviatilis
518,2006,2006-04-24,52.10655,1.1030846,19.0,Gobio gobio
519,2006,2006-04-24,52.10655,1.1030846,18.0,Tinca tinca
522,2006,2006-04-24,52.10655,1.1030846,20.0,Anguilla anguilla
523,2007,2007-03-28,52.10655,1.1030846,67.0,Esox lucius
525,2007,2007-03-28,52.10655,1.1030846,504.0,Rutilus rutilus
526,2007,2007-03-28,52.10655,1.1030846,79.0,Perca fluviatilis
527,2007,2007-03-28,52.10655,1.1030846,16.0,Tinca tinca
529,2007,2007-03-28,52.10655,1.1030846,1.0,Gobio gobio
533,2007,2007-03-28,52.10655,1.1030846,40.0,Anguilla anguilla
534,2008,2008-04-14,52.10655,1.1030846,676.0,Rutilus rutilus
535,2008,2008-04-14,52.10655,1.1030846,9.0,Tinca tinca
537,2008,2008-04-14,52.10655,1.1030846,32.0,Esox lucius
538,2008,2008-04-14,52.10655,1.1030846,24.0,Perca fluviatilis
541,2008,2008-04-14,52.10655,1.1030846,6.0,Gobio gobio
544,2008,2008-04-14,52.10655,1.1030846,8.0,Anguilla anguilla
546,2009,2009-04-16,52.10655,1.1030846,491.0,Rutilus rutilus
547,2009,2009-04-16,52.10655,1.1030846,43.0,Esox lucius
548,2009,2009-04-16,52.10655,1.1030846,19.0,Perca fluviatilis
550,2009,2009-04-16,52.10655,1.1030846,10.0,Tinca tinca
553,2009,2009-04-16,52.10655,1.1030846,1.0,Cyprinus carpio
555,2009,2009-04-16,52.10655,1.1030846,33.0,Anguilla anguilla
557,2009,2009-04-16,52.10655,1.1030846,1.0,Gobio gobio
558,2009,2009-04-16,52.10655,1.1030846,1.0,Scardinius erythrophthalmus
559,2010,2010-04-15,52.10655,1.1030846,36.0,Rutilus rutilus
560,2010,2010-04-15,52.10655,1.1030846,35.0,Esox lucius
562,2010,2010-04-15,52.10655,1.1030846,38.0,Perca fluviatilis
563,2010,2010-04-15,52.10655,1.1030846,2.0,Tinca tinca
565,2010,2010-04-15,52.10655,1.1030846,2.0,Gobio gobio
568,2010,2010-04-15,52.10655,1.1030846,30.0,Anguilla anguilla
569,2013,2013-04-15,52.107859,1.1049429,3.0,Rutilus rutilus
570,2013,2013-04-15,52.107859,1.1049429,64.0,Perca fluviatilis
571,2013,2013-04-15,52.107859,1.1049429,17.0,Esox lucius
573,2013,2013-04-15,52.107859,1.1049429,2.0,Tinca tinca
576,2013,2013-04-15,52.107859,1.1049429,74.0,Anguilla anguilla
578,2016,2016-04-26,52.10655,1.1030846,943.0,Rutilus rutilus
579,2016,2016-04-26,52.10655,1.1030846,36.0,Esox lucius
580,2016,2016-04-26,52.10655,1.1030846,133.0,Perca fluviatilis
